Car Design,Frontal Area (m²)
F_S_WWS_WM_681,2.46
F_S_WWS_WM_680,2.264
F_S_WWS_WM_319,2.164
F_S_WWS_WM_610,2.438
F_S_WWS_WM_603,2.602
F_S_WWS_WM_164,2.294
F_S_WWS_WM_531,2.052
F_S_WWS_WM_524,2.002
F_S_WWS_WM_674,2.32
F_S_WWS_WM_409,2.498
F_S_WWS_WM_217,2.414
F_S_WWS_WM_211,2.138
F_S_WWS_WM_284,2.448
F_S_WWS_WM_112,2.45
F_S_WWS_WM_317,2.228
F_S_WWS_WM_174,2.306
F_S_WWS_WM_574,2.336
F_S_WWS_WM_337,2.174
F_S_WWS_WM_194,2.23
F_S_WWS_WM_631,2.322
F_S_WWS_WM_551,2.568
F_S_WWS_WM_289,2.034
F_S_WWS_WM_577,2.506
F_S_WWS_WM_255,2.084
F_S_WWS_WM_567,2.25
F_S_WWS_WM_365,2.244
F_S_WWS_WM_568,2.208
F_S_WWS_WM_169,2.172
F_S_WWS_WM_624,2.412
F_S_WWS_WM_555,2.42
F_S_WWS_WM_673,2.656
F_S_WWS_WM_312,2.118
F_S_WWS_WM_423,2.148
F_S_WWS_WM_605,2.482
F_S_WWS_WM_454,2.108
F_S_WWS_WM_411,2.53
F_S_WWS_WM_187,2.48
F_S_WWS_WM_655,2.072
F_S_WWS_WM_379,2.062
F_S_WWS_WM_356,2.604
F_S_WWS_WM_532,2.08
F_S_WWS_WM_497,2.476
F_S_WWS_WM_262,2.06
F_S_WWS_WM_465,2.068
F_S_WWS_WM_229,2.21
F_S_WWS_WM_283,2.286
F_S_WWS_WM_563,2.39
F_S_WWS_WM_010,2.26
F_S_WWS_WM_569,2.082
F_S_WWS_WM_474,2.48
F_S_WWS_WM_612,2.15
F_S_WWS_WM_355,2.204
F_S_WWS_WM_527,2.22
F_S_WWS_WM_047,2.394
F_S_WWS_WM_330,2.488
F_S_WWS_WM_060,2.472
F_S_WWS_WM_372,2.34
F_S_WWS_WM_153,2.63
F_S_WWS_WM_029,2.308
F_S_WWS_WM_623,2.39
F_S_WWS_WM_452,2.616
F_S_WWS_WM_091,2.124
F_S_WWS_WM_468,2.204
F_S_WWS_WM_585,2.414
F_S_WWS_WM_436,2.608
F_S_WWS_WM_058,2.652
F_S_WWS_WM_248,2.576
F_S_WWS_WM_348,2.556
F_S_WWS_WM_277,2.356
F_S_WWS_WM_307,2.4
F_S_WWS_WM_672,2.094
F_S_WWS_WM_651,2.562
F_S_WWS_WM_376,2.27
F_S_WWS_WM_343,2.212
F_S_WWS_WM_366,2.08
F_S_WWS_WM_598,2.21
F_S_WWS_WM_341,2.146
F_S_WWS_WM_321,2.23
F_S_WWS_WM_370,2.574
F_S_WWS_WM_190,2.542
F_S_WWS_WM_514,2.064
F_S_WWS_WM_479,1.9864
F_S_WWS_WM_511,2.512
F_S_WWS_WM_450,2.55
F_S_WWS_WM_437,2.156
F_S_WWS_WM_234,2.212
F_S_WWS_WM_490,2.428
F_S_WWS_WM_189,1.992
F_S_WWS_WM_408,2.094
F_S_WWS_WM_300,2.296
F_S_WWS_WM_028,2.328
F_S_WWS_WM_661,2.188
F_S_WWS_WM_093,2.378
F_S_WWS_WM_161,2.166
F_S_WWS_WM_222,2.26
F_S_WWS_WM_119,2.364
F_S_WWS_WM_301,2.182
F_S_WWS_WM_020,2.312
F_S_WWS_WM_057,2.376
F_S_WWS_WM_489,2.51
F_S_WWS_WM_175,2.086
F_S_WWS_WM_664,2.216
F_S_WWS_WM_259,2.31
F_S_WWS_WM_669,1.9692
F_S_WWS_WM_587,2.328
F_S_WWS_WM_444,2.358
F_S_WWS_WM_240,2.546
F_S_WWS_WM_327,2.49
F_S_WWS_WM_402,2.202
F_S_WWS_WM_223,2.44
F_S_WWS_WM_588,2.506
F_S_WWS_WM_230,1.9814
F_S_WWS_WM_592,2.21
F_S_WWS_WM_252,2.454
F_S_WWS_WM_110,2.566
F_S_WWS_WM_042,2.22
F_S_WWS_WM_195,2.44
F_S_WWS_WM_455,2.452
F_S_WWS_WM_530,2.426
F_S_WWS_WM_051,2.448
F_S_WWS_WM_676,2.428
F_S_WWS_WM_094,2.528
F_S_WWS_WM_381,2.48
F_S_WWS_WM_214,2.306
F_S_WWS_WM_148,2.224
F_S_WWS_WM_166,2.088
F_S_WWS_WM_385,2.154
F_S_WWS_WM_070,2.152
F_S_WWS_WM_239,2.546
F_S_WWS_WM_106,2.03
F_S_WWS_WM_322,2.19
F_S_WWS_WM_002,2.218
F_S_WWS_WM_435,2.336
F_S_WWS_WM_218,2.12
F_S_WWS_WM_282,2.388
F_S_WWS_WM_392,2.378
F_S_WWS_WM_118,2.098
F_S_WWS_WM_562,2.626
F_S_WWS_WM_236,2.154
F_S_WWS_WM_055,2.158
F_S_WWS_WM_547,2.536
F_S_WWS_WM_505,2.258
F_S_WWS_WM_147,2.216
F_S_WWS_WM_155,2.126
F_S_WWS_WM_410,2.516
F_S_WWS_WM_486,2.176
F_S_WWS_WM_640,2.58
F_S_WWS_WM_432,2.188
F_S_WWS_WM_049,2.564
F_S_WWS_WM_471,2.454
F_S_WWS_WM_232,2.312
F_S_WWS_WM_034,2.088
F_S_WWS_WM_549,2.09
F_S_WWS_WM_599,2.43
F_S_WWS_WM_677,1.9756
F_S_WWS_WM_171,2.32
F_S_WWS_WM_387,2.254
F_S_WWS_WM_628,2.454
F_S_WWS_WM_030,2.368
F_S_WWS_WM_382,2.42
F_S_WWS_WM_149,2.154
F_S_WWS_WM_466,2.402
F_S_WWS_WM_019,2.078
F_S_WWS_WM_687,2.134
F_S_WWS_WM_025,2.7
F_S_WWS_WM_117,2.618
F_S_WWS_WM_694,2.444
F_S_WWS_WM_619,2.216
F_S_WWS_WM_170,2.332
F_S_WWS_WM_115,2.39
F_S_WWS_WM_035,2.328
F_S_WWS_WM_401,2.43
F_S_WWS_WM_250,2.262
F_S_WWS_WM_451,2.636
F_S_WWS_WM_389,2.126
F_S_WWS_WM_456,2.186
F_S_WWS_WM_244,2.078
F_S_WWS_WM_066,2.28
F_S_WWS_WM_178,2.432
F_S_WWS_WM_421,2.19
F_S_WWS_WM_359,2.342
F_S_WWS_WM_267,2.438
F_S_WWS_WM_210,2.252
F_S_WWS_WM_067,2.554
F_S_WWS_WM_649,2.066
F_S_WWS_WM_241,2.222
F_S_WWS_WM_529,2.35
F_S_WWS_WM_150,2.134
F_S_WWS_WM_095,2.264
F_S_WWS_WM_537,2.31
F_S_WWS_WM_001,2.192
F_S_WWS_WM_685,2.602
F_S_WWS_WM_245,2.294
F_S_WWS_WM_414,2.088
F_S_WWS_WM_005,2.52
F_S_WWS_WM_292,2.266
F_S_WWS_WM_328,2.268
F_S_WWS_WM_386,2.304
F_S_WWS_WM_206,2.324
F_S_WWS_WM_403,2.292
F_S_WWS_WM_507,2.5
F_S_WWS_WM_096,2.196
F_S_WWS_WM_299,2.128
F_S_WWS_WM_088,2.322
F_S_WWS_WM_566,2.118
F_S_WWS_WM_065,2.354
F_S_WWS_WM_540,2.426
F_S_WWS_WM_235,2.308
F_S_WWS_WM_652,2.122
F_S_WWS_WM_554,2.304
F_S_WWS_WM_258,2.298
F_S_WWS_WM_352,2.306
F_S_WWS_WM_339,2.202
F_S_WWS_WM_203,2.424
F_S_WWS_WM_604,2.596
F_S_WWS_WM_636,2.414
F_S_WWS_WM_342,2.162
F_S_WWS_WM_462,2.14
F_S_WWS_WM_354,2.218
F_S_WWS_WM_609,2.418
F_S_WWS_WM_443,2.39
F_S_WWS_WM_285,2.328
F_S_WWS_WM_024,2.502
F_S_WWS_WM_601,2.428
F_S_WWS_WM_378,2.062
F_S_WWS_WM_261,2.328
F_S_WWS_WM_671,2.306
F_S_WWS_WM_231,2.35
F_S_WWS_WM_156,2.23
F_S_WWS_WM_160,2.024
F_S_WWS_WM_642,2.19
F_S_WWS_WM_087,2.41
F_S_WWS_WM_144,2.14
F_S_WWS_WM_036,2.454
F_S_WWS_WM_009,2.516
F_S_WWS_WM_135,2.072
F_S_WWS_WM_544,2.446
F_S_WWS_WM_459,2.522
F_S_WWS_WM_274,2.074
F_S_WWS_WM_305,2.372
F_S_WWS_WM_237,2.516
F_S_WWS_WM_022,2.308
F_S_WWS_WM_180,2.1
F_S_WWS_WM_215,2.272
F_S_WWS_WM_431,2.212
F_S_WWS_WM_302,1.997
F_S_WWS_WM_044,2.582
F_S_WWS_WM_449,2.106
F_S_WWS_WM_525,2.202
F_S_WWS_WM_542,2.322
F_S_WWS_WM_026,2.158
F_S_WWS_WM_350,2.098
F_S_WWS_WM_573,2.058
F_S_WWS_WM_018,2.202
F_S_WWS_WM_276,2.348
F_S_WWS_WM_463,2.394
F_S_WWS_WM_438,2.458
F_S_WWS_WM_281,2.054
F_S_WWS_WM_099,2.434
F_S_WWS_WM_297,2.526
F_S_WWS_WM_377,2.23
F_S_WWS_WM_484,2.5
F_S_WWS_WM_186,2.33
F_S_WWS_WM_003,2.234
F_S_WWS_WM_177,2.366
F_S_WWS_WM_591,2.102
F_S_WWS_WM_481,2.22
F_S_WWS_WM_268,2.236
F_S_WWS_WM_657,2.296
F_S_WWS_WM_136,2.372
F_S_WWS_WM_324,2.572
F_S_WWS_WM_647,2.37
F_S_WWS_WM_430,2.16
F_S_WWS_WM_472,2.232
F_S_WWS_WM_488,2.132
F_S_WWS_WM_445,2.006
F_S_WWS_WM_494,2.172
F_S_WWS_WM_271,2.244
F_S_WWS_WM_014,2.368
F_S_WWS_WM_398,2.37
F_S_WWS_WM_407,2.464
F_S_WWS_WM_249,2.074
F_S_WWS_WM_684,2.212
F_S_WWS_WM_130,2.202
F_S_WWS_WM_286,2.572
F_S_WWS_WM_023,2.362
F_S_WWS_WM_053,2.426
F_S_WWS_WM_654,2.244
F_S_WWS_WM_159,1.9528
F_S_WWS_WM_663,2.248
F_S_WWS_WM_429,2.412
F_S_WWS_WM_349,2.448
F_S_WWS_WM_243,2.586
F_S_WWS_WM_116,2.21
F_S_WWS_WM_209,2.276
F_S_WWS_WM_446,2.524
F_S_WWS_WM_416,2.478
F_S_WWS_WM_082,2.178
F_S_WWS_WM_665,2.182
F_S_WWS_WM_075,2.274
F_S_WWS_WM_440,2.156
F_S_WWS_WM_682,2.368
F_S_WWS_WM_104,2.6
F_S_WWS_WM_693,2.404
F_S_WWS_WM_290,2.544
F_S_WWS_WM_331,2.056
F_S_WWS_WM_535,2.064
F_S_WWS_WM_424,2.666
F_S_WWS_WM_496,2.332
F_S_WWS_WM_388,2.444
F_S_WWS_WM_050,2.608
F_S_WWS_WM_336,2.158
F_S_WWS_WM_622,2.426
F_S_WWS_WM_638,2.292
F_S_WWS_WM_418,2.022
F_S_WWS_WM_212,2.176
F_S_WWS_WM_131,2.408
F_S_WWS_WM_543,2.428
F_S_WWS_WM_521,2.324
F_S_WWS_WM_656,2.608
F_S_WWS_WM_469,2.074
F_S_WWS_WM_406,2.326
F_S_WWS_WM_097,2.146
F_S_WWS_WM_533,2.29
F_S_WWS_WM_473,2.292
F_S_WWS_WM_552,2.296
F_S_WWS_WM_242,2.538
F_S_WWS_WM_182,2.068
F_S_WWS_WM_089,2.324
F_S_WWS_WM_425,2.54
F_S_WWS_WM_395,2.394
F_S_WWS_WM_679,2.55
F_S_WWS_WM_399,2.006
F_S_WWS_WM_683,2.418
F_S_WWS_WM_513,2.442
F_S_WWS_WM_659,2.438
F_S_WWS_WM_630,2.494
F_S_WWS_WM_220,2.352
F_S_WWS_WM_081,2.178
F_S_WWS_WM_400,2.6
F_S_WWS_WM_146,2.192
F_S_WWS_WM_141,2.432
F_S_WWS_WM_461,2.188
F_S_WWS_WM_338,2.178
F_S_WWS_WM_340,2.156
F_S_WWS_WM_509,2.454
F_S_WWS_WM_528,2.118
F_S_WWS_WM_556,2.616
F_S_WWS_WM_137,2.51
F_S_WWS_WM_697,2.488
F_S_WWS_WM_269,2.394
F_S_WWS_WM_482,2.574
F_S_WWS_WM_662,2.558
F_S_WWS_WM_172,2.404
F_S_WWS_WM_480,2.182
F_S_WWS_WM_072,2.53
F_S_WWS_WM_502,2.156
F_S_WWS_WM_109,2.186
F_S_WWS_WM_448,2.214
F_S_WWS_WM_523,2.386
F_S_WWS_WM_536,2.204
F_S_WWS_WM_043,2.594
F_S_WWS_WM_427,2.298
F_S_WWS_WM_059,2.338
F_S_WWS_WM_689,2.146
F_S_WWS_WM_272,2.288
F_S_WWS_WM_539,2.082
F_S_WWS_WM_397,2.14
F_S_WWS_WM_597,2.09
F_S_WWS_WM_079,2.134
F_S_WWS_WM_253,2.564
F_S_WWS_WM_572,2.372
F_S_WWS_WM_334,2.552
F_S_WWS_WM_108,2.224
F_S_WWS_WM_264,2.152
F_S_WWS_WM_310,2.514
F_S_WWS_WM_228,2.174
F_S_WWS_WM_635,2.3
F_S_WWS_WM_504,2.3
F_S_WWS_WM_140,2.248
F_S_WWS_WM_260,2.17
F_S_WWS_WM_266,2.254
F_S_WWS_WM_538,2.168
F_S_WWS_WM_304,2.36
F_S_WWS_WM_690,2.118
F_S_WWS_WM_114,2.342
F_S_WWS_WM_138,2.534
F_S_WWS_WM_347,2.034
F_S_WWS_WM_658,2.354
F_S_WWS_WM_571,2.56
F_S_WWS_WM_295,2.22
F_S_WWS_WM_692,2.518
F_S_WWS_WM_080,2.164
F_S_WWS_WM_595,2.362
F_S_WWS_WM_246,2.392
F_S_WWS_WM_139,2.22
F_S_WWS_WM_618,2.566
F_S_WWS_WM_458,2.184
F_S_WWS_WM_294,2.508
F_S_WWS_WM_205,2.082
F_S_WWS_WM_073,2.404
F_S_WWS_WM_168,2.194
F_S_WWS_WM_121,2.206
F_S_WWS_WM_583,2.508
F_S_WWS_WM_391,2.428
F_S_WWS_WM_256,2.362
F_S_WWS_WM_629,2.426
F_S_WWS_WM_360,2.552
F_S_WWS_WM_107,2.424
F_S_WWS_WM_084,2.39
F_S_WWS_WM_142,2.064
F_S_WWS_WM_561,2.474
F_S_WWS_WM_092,2.076
F_S_WWS_WM_515,2.454
F_S_WWS_WM_373,2.356
F_S_WWS_WM_306,2.174
F_S_WWS_WM_380,2.23
F_S_WWS_WM_517,2.386
F_S_WWS_WM_192,2.076
F_S_WWS_WM_021,2.236
F_S_WWS_WM_201,2.298
F_S_WWS_WM_279,2.088
F_S_WWS_WM_071,2.164
F_S_WWS_WM_433,2.468
F_S_WWS_WM_541,2.17
F_S_WWS_WM_545,2.412
F_S_WWS_WM_498,2.036
F_S_WWS_WM_278,2.294
F_S_WWS_WM_457,2.506
F_S_WWS_WM_291,2.256
F_S_WWS_WM_323,2.58
F_S_WWS_WM_643,2.09
F_S_WWS_WM_405,2.496
F_S_WWS_WM_633,2.038
F_S_WWS_WM_558,2.128
F_S_WWS_WM_477,2.372
F_S_WWS_WM_613,2.446
F_S_WWS_WM_548,2.42
F_S_WWS_WM_485,2.024
F_S_WWS_WM_033,2.374
F_S_WWS_WM_196,2.382
F_S_WWS_WM_467,2.03
F_S_WWS_WM_499,2.13
F_S_WWS_WM_384,2.47
F_S_WWS_WM_193,2.58
F_S_WWS_WM_038,2.368
F_S_WWS_WM_045,2.26
F_S_WWS_WM_632,2.258
F_S_WWS_WM_375,2.282
F_S_WWS_WM_696,2.062
F_S_WWS_WM_314,2.404
F_S_WWS_WM_620,2.18
F_S_WWS_WM_316,2.306
F_S_WWS_WM_415,2.622
F_S_WWS_WM_031,2.366
F_S_WWS_WM_478,2.36
F_S_WWS_WM_151,2.066
F_S_WWS_WM_048,2.192
F_S_WWS_WM_162,2.314
F_S_WWS_WM_183,2.106
F_S_WWS_WM_199,2.074
F_S_WWS_WM_040,2.494
F_S_WWS_WM_090,2.27
F_S_WWS_WM_123,2.302
F_S_WWS_WM_617,2.338
F_S_WWS_WM_526,2.176
F_S_WWS_WM_251,2.302
F_S_WWS_WM_127,2.004
F_S_WWS_WM_653,2.404
F_S_WWS_WM_270,2.378
F_S_WWS_WM_678,2.594
F_S_WWS_WM_013,2.504
F_S_WWS_WM_086,2.238
F_S_WWS_WM_247,2.176
F_S_WWS_WM_475,2.06
F_S_WWS_WM_076,2.43
F_S_WWS_WM_695,2.246
F_S_WWS_WM_309,2.332
F_S_WWS_WM_063,2.476
F_S_WWS_WM_580,2.506
F_S_WWS_WM_363,2.494
F_S_WWS_WM_275,2.21
F_S_WWS_WM_296,2.584
F_S_WWS_WM_202,2.212
F_S_WWS_WM_447,2.448
F_S_WWS_WM_470,2.352
F_S_WWS_WM_163,2.208
F_S_WWS_WM_393,1.9918
F_S_WWS_WM_441,2.146
F_S_WWS_WM_213,2.248
F_S_WWS_WM_420,2.242
F_S_WWS_WM_493,2.162
F_S_WWS_WM_501,2.384
F_S_WWS_WM_621,2.126
F_S_WWS_WM_313,2.32
F_S_WWS_WM_320,2.38
F_S_WWS_WM_417,2.196
F_S_WWS_WM_238,2.198
F_S_WWS_WM_625,2.392
F_S_WWS_WM_593,2.086
F_S_WWS_WM_369,2.282
F_S_WWS_WM_008,2.392
F_S_WWS_WM_520,2.19
F_S_WWS_WM_368,2.42
F_S_WWS_WM_120,2.32
F_S_WWS_WM_668,2.02
F_S_WWS_WM_257,2.23
F_S_WWS_WM_111,2.378
F_S_WWS_WM_293,2.292
F_S_WWS_WM_581,2.426
F_S_WWS_WM_371,2.014
F_S_WWS_WM_004,2.49
F_S_WWS_WM_570,2.272
F_S_WWS_WM_133,2.322
F_S_WWS_WM_582,2.15
F_S_WWS_WM_357,2.256
F_S_WWS_WM_227,2.106
F_S_WWS_WM_007,2.432
F_S_WWS_WM_557,2.316
F_S_WWS_WM_216,2.046
F_S_WWS_WM_503,2.062
F_S_WWS_WM_098,2.138
F_S_WWS_WM_500,2.446
F_S_WWS_WM_344,2.446
F_S_WWS_WM_422,2.316
F_S_WWS_WM_016,2.098
F_S_WWS_WM_056,2.428
F_S_WWS_WM_646,2.318
F_S_WWS_WM_345,2.314
N_S_WWC_WM_315,2.194
N_S_WWC_WM_129,2.652
N_S_WWC_WM_191,2.144
N_S_WWC_WM_512,2.156
N_S_WWC_WM_311,2.002
N_S_WWC_WM_476,2.376
N_S_WWC_WM_383,2.574
N_S_WWC_WM_039,2.4
N_S_WWC_WM_100,2.008
N_S_WWC_WM_428,2.152
N_S_WWC_WM_412,2.516
N_S_WWC_WM_015,2.54
N_S_WWC_WM_308,2.28
N_S_WWC_WM_132,2.088
N_S_WWC_WM_122,2.29
N_S_WWC_WM_068,2.266
N_S_WWC_WM_506,2.04
N_S_WWC_WM_390,2.38
N_S_WWC_WM_439,2.336
N_S_WWC_WM_332,2.286
N_S_WWC_WM_078,2.184
N_S_WWC_WM_358,2.65
N_S_WWC_WM_263,2.49
N_S_WWC_WM_367,2.094
N_S_WWC_WM_085,2.558
N_S_WWC_WM_219,2.202
N_S_WWC_WM_404,2.308
N_S_WWC_WM_224,2.276
N_S_WWC_WM_027,2.244
N_S_WWC_WM_125,2.3
N_S_WWC_WM_319,2.166
N_S_WWC_WM_164,2.296
N_S_WWC_WM_409,2.506
N_S_WWC_WM_217,2.414
N_S_WWC_WM_211,2.142
N_S_WWC_WM_284,2.45
N_S_WWC_WM_112,2.456
N_S_WWC_WM_317,2.228
N_S_WWC_WM_174,2.31
N_S_WWC_WM_337,2.182
N_S_WWC_WM_194,2.234
N_S_WWC_WM_289,2.036
N_S_WWC_WM_255,2.09
N_S_WWC_WM_365,2.244
N_S_WWC_WM_169,2.174
N_S_WWC_WM_312,2.12
N_S_WWC_WM_423,2.156
N_S_WWC_WM_454,2.116
N_S_WWC_WM_411,2.54
N_S_WWC_WM_187,2.48
N_S_WWC_WM_379,2.068
N_S_WWC_WM_356,2.614
N_S_WWC_WM_262,2.05
N_S_WWC_WM_465,2.044
N_S_WWC_WM_229,2.218
N_S_WWC_WM_283,2.292
N_S_WWC_WM_010,2.262
N_S_WWC_WM_474,2.482
N_S_WWC_WM_355,2.206
N_S_WWC_WM_047,2.396
N_S_WWC_WM_330,2.494
N_S_WWC_WM_060,2.476
N_S_WWC_WM_372,2.35
N_S_WWC_WM_153,2.634
N_S_WWC_WM_029,2.32
N_S_WWC_WM_452,2.628
N_S_WWC_WM_091,2.128
N_S_WWC_WM_468,2.212
N_S_WWC_WM_436,2.62
N_S_WWC_WM_058,2.658
N_S_WWC_WM_248,2.554
N_S_WWC_WM_348,2.56
N_S_WWC_WM_277,2.356
N_S_WWC_WM_307,2.408
N_S_WWC_WM_376,2.278
N_S_WWC_WM_343,2.214
N_S_WWC_WM_366,2.082
N_S_WWC_WM_341,2.138
N_S_WWC_WM_321,2.232
N_S_WWC_WM_370,2.576
N_S_WWC_WM_190,2.546
N_S_WWC_WM_514,2.07
N_S_WWC_WM_479,1.9914
N_S_WWC_WM_511,2.516
N_S_WWC_WM_450,2.554
N_S_WWC_WM_437,2.164
N_S_WWC_WM_234,2.244
N_S_WWC_WM_490,2.434
N_S_WWC_WM_189,1.995
N_S_WWC_WM_408,2.096
N_S_WWC_WM_300,2.302
N_S_WWC_WM_028,2.33
N_S_WWC_WM_093,2.372
N_S_WWC_WM_161,2.172
N_S_WWC_WM_222,2.264
N_S_WWC_WM_119,2.374
N_S_WWC_WM_301,2.188
N_S_WWC_WM_020,2.318
N_S_WWC_WM_057,2.38
N_S_WWC_WM_489,2.514
N_S_WWC_WM_175,2.086
N_S_WWC_WM_259,2.316
N_S_WWC_WM_444,2.358
N_S_WWC_WM_240,2.546
N_S_WWC_WM_327,2.494
N_S_WWC_WM_402,2.204
N_S_WWC_WM_223,2.448
N_S_WWC_WM_230,1.9858
N_S_WWC_WM_252,2.456
N_S_WWC_WM_110,2.574
N_S_WWC_WM_042,2.222
N_S_WWC_WM_195,2.45
N_S_WWC_WM_455,2.46
N_S_WWC_WM_051,2.452
N_S_WWC_WM_094,2.524
N_S_WWC_WM_381,2.492
N_S_WWC_WM_214,2.31
N_S_WWC_WM_148,2.228
N_S_WWC_WM_166,2.088
N_S_WWC_WM_385,2.154
N_S_WWC_WM_070,2.176
N_S_WWC_WM_239,2.562
N_S_WWC_WM_106,2.032
N_S_WWC_WM_322,2.19
N_S_WWC_WM_002,2.228
N_S_WWC_WM_435,2.344
N_S_WWC_WM_218,2.122
N_S_WWC_WM_282,2.39
N_S_WWC_WM_392,2.384
N_S_WWC_WM_118,2.102
N_S_WWC_WM_236,2.162
N_S_WWC_WM_055,2.158
N_S_WWC_WM_505,2.266
N_S_WWC_WM_147,2.232
N_S_WWC_WM_155,2.122
N_S_WWC_WM_410,2.528
N_S_WWC_WM_486,2.184
N_S_WWC_WM_432,2.19
N_S_WWC_WM_049,2.574
N_S_WWC_WM_471,2.462
N_S_WWC_WM_232,2.32
N_S_WWC_WM_034,2.08
N_S_WWC_WM_176,2.282
N_S_WWC_WM_171,2.32
N_S_WWC_WM_387,2.256
N_S_WWC_WM_030,2.37
N_S_WWC_WM_265,2.186
N_S_WWC_WM_382,2.426
N_S_WWC_WM_149,2.16
N_S_WWC_WM_466,2.41
N_S_WWC_WM_019,2.08
N_S_WWC_WM_025,2.706
N_S_WWC_WM_117,2.626
N_S_WWC_WM_170,2.334
N_S_WWC_WM_115,2.402
N_S_WWC_WM_035,2.33
N_S_WWC_WM_401,2.434
N_S_WWC_WM_250,2.272
N_S_WWC_WM_451,2.646
N_S_WWC_WM_389,2.154
N_S_WWC_WM_456,2.166
N_S_WWC_WM_244,2.08
N_S_WWC_WM_066,2.282
N_S_WWC_WM_178,2.434
N_S_WWC_WM_421,2.19
N_S_WWC_WM_359,2.354
N_S_WWC_WM_267,2.444
N_S_WWC_WM_210,2.262
N_S_WWC_WM_067,2.574
N_S_WWC_WM_241,2.24
N_S_WWC_WM_150,2.142
N_S_WWC_WM_095,2.272
N_S_WWC_WM_001,2.2
N_S_WWC_WM_245,2.302
N_S_WWC_WM_414,2.088
N_S_WWC_WM_005,2.514
N_S_WWC_WM_292,2.266
N_S_WWC_WM_328,2.274
N_S_WWC_WM_386,2.31
N_S_WWC_WM_206,2.324
N_S_WWC_WM_403,2.3
N_S_WWC_WM_507,2.51
N_S_WWC_WM_096,2.206
N_S_WWC_WM_299,2.144
N_S_WWC_WM_088,2.334
N_S_WWC_WM_065,2.358
N_S_WWC_WM_235,2.308
N_S_WWC_WM_258,2.298
N_S_WWC_WM_352,2.31
N_S_WWC_WM_339,2.206
N_S_WWC_WM_203,2.434
N_S_WWC_WM_342,2.16
N_S_WWC_WM_462,2.148
N_S_WWC_WM_354,2.222
N_S_WWC_WM_032,2.062
N_S_WWC_WM_443,2.402
N_S_WWC_WM_285,2.348
N_S_WWC_WM_024,2.514
N_S_WWC_WM_378,2.064
N_S_WWC_WM_261,2.338
N_S_WWC_WM_231,2.352
N_S_WWC_WM_156,2.238
N_S_WWC_WM_160,2.026
N_S_WWC_WM_087,2.412
N_S_WWC_WM_144,2.142
N_S_WWC_WM_036,2.468
N_S_WWC_WM_009,2.526
N_S_WWC_WM_135,2.076
N_S_WWC_WM_459,2.534
N_S_WWC_WM_274,2.076
N_S_WWC_WM_305,2.374
N_S_WWC_WM_237,2.52
N_S_WWC_WM_022,2.308
N_S_WWC_WM_180,2.104
N_S_WWC_WM_215,2.276
N_S_WWC_WM_431,2.2
N_S_WWC_WM_302,2
N_S_WWC_WM_044,2.586
N_S_WWC_WM_449,2.11
N_S_WWC_WM_026,2.168
N_S_WWC_WM_350,2.108
N_S_WWC_WM_018,2.204
N_S_WWC_WM_276,2.36
N_S_WWC_WM_463,2.402
N_S_WWC_WM_438,2.462
N_S_WWC_WM_281,2.056
N_S_WWC_WM_099,2.436
N_S_WWC_WM_297,2.532
N_S_WWC_WM_377,2.232
N_S_WWC_WM_484,2.502
N_S_WWC_WM_186,2.336
N_S_WWC_WM_003,2.238
N_S_WWC_WM_177,2.372
N_S_WWC_WM_481,2.222
N_S_WWC_WM_268,2.258
N_S_WWC_WM_136,2.38
N_S_WWC_WM_324,2.562
N_S_WWC_WM_430,2.168
N_S_WWC_WM_472,2.242
N_S_WWC_WM_488,2.134
N_S_WWC_WM_445,2.012
N_S_WWC_WM_494,2.18
N_S_WWC_WM_271,2.25
N_S_WWC_WM_014,2.368
N_S_WWC_WM_398,2.372
N_S_WWC_WM_407,2.466
N_S_WWC_WM_249,2.076
N_S_WWC_WM_130,2.208
N_S_WWC_WM_286,2.576
N_S_WWC_WM_023,2.374
N_S_WWC_WM_053,2.43
N_S_WWC_WM_159,1.9536
N_S_WWC_WM_429,2.424
N_S_WWC_WM_349,2.458
N_S_WWC_WM_243,2.594
N_S_WWC_WM_116,2.206
N_S_WWC_WM_209,2.282
N_S_WWC_WM_446,2.53
N_S_WWC_WM_416,2.484
N_S_WWC_WM_082,2.18
N_S_WWC_WM_075,2.286
N_S_WWC_WM_440,2.16
N_S_WWC_WM_104,2.604
N_S_WWC_WM_290,2.556
N_S_WWC_WM_331,2.062
N_S_WWC_WM_424,2.668
N_S_WWC_WM_388,2.444
N_S_WWC_WM_050,2.614
N_S_WWC_WM_336,2.16
N_S_WWC_WM_418,2.022
N_S_WWC_WM_212,2.178
N_S_WWC_WM_131,2.408
N_S_WWC_WM_521,2.326
N_S_WWC_WM_469,2.078
N_S_WWC_WM_406,2.284
N_S_WWC_WM_097,2.15
N_S_WWC_WM_473,2.298
N_S_WWC_WM_242,2.55
N_S_WWC_WM_182,2.036
N_S_WWC_WM_089,2.328
N_S_WWC_WM_425,2.542
N_S_WWC_WM_395,2.4
N_S_WWC_WM_399,2.01
N_S_WWC_WM_513,2.444
N_S_WWC_WM_220,2.354
N_S_WWC_WM_081,2.18
N_S_WWC_WM_400,2.61
N_S_WWC_WM_146,2.192
N_S_WWC_WM_141,2.434
N_S_WWC_WM_461,2.192
N_S_WWC_WM_338,2.186
N_S_WWC_WM_340,2.158
N_S_WWC_WM_509,2.464
